nu,CH4/x=0.000001/T=253K/P=0.53atm/L=1000000cm
6266.0,0.0
6266.01,2.24287272104e-06
6266.02,2.15315767266e-06
6266.03,2.14726615969e-06
6266.04,2.21422611525e-06
6266.05,2.29348617037e-06
6266.06,2.30097365648e-06
6266.07,2.19249685818e-06
6266.08,1.99808226094e-06
6266.09,1.79373050133e-06
6266.1,1.6405046908e-06
6266.11,1.56571310805e-06
6266.12,1.58246044859e-06
6266.13,1.7046806004e-06
6266.14,1.93467140731e-06
6266.15,2.21606968132e-06
6266.16,2.40208256072e-06
6266.17,2.36654082103e-06
6266.18,2.1674061392e-06
6266.19,1.97012127691e-06
6266.2,1.86397498195e-06
6266.21,1.83745886302e-06
6266.22,1.86060210721e-06
6266.23,1.93802499493e-06
6266.24,2.08836736291e-06
6266.25,2.32384383904e-06
6266.26,2.64296623047e-06
6266.27,2.97363236728e-06
6266.28,3.15027177345e-06
6266.29,3.06700781337e-06
6266.3,2.82285688722e-06
6266.31,2.59986308062e-06
6266.32,2.49062965165e-06
6266.33,2.49922756479e-06
6266.34,2.57972610664e-06
6266.35,2.61900932738e-06
6266.36,2.5061044856e-06
6266.37,2.27106284912e-06
6266.38,2.04270703359e-06
6266.39,1.90444389069e-06
6266.4,1.87305591585e-06
6266.41,1.95056016068e-06
6266.42,2.14812431445e-06
6266.43,2.47629951399e-06
6266.44,2.9363478212e-06
6266.45,3.52272331995e-06
6266.46,4.16773509503e-06
6266.47,4.65826227064e-06
6266.48,4.78295133092e-06
6266.49,4.60420085284e-06
6266.5,4.34807633233e-06
6266.51,4.09091437586e-06
6266.52,3.77876702576e-06
6266.53,3.44374647683e-06
6266.54,3.19575524931e-06
6266.55,3.08604872884e-06
6266.56,3.11488708905e-06
6266.57,3.27645154576e-06
6266.58,3.48600292301e-06
6266.59,3.55066971537e-06
6266.6,3.35691534695e-06
6266.61,3.01579046491e-06
6266.62,2.70301570452e-06
6266.63,2.48680127385e-06
6266.64,2.36846437612e-06
6266.65,2.36666807624e-06
6266.66,2.51429960493e-06
6266.67,2.82366908002e-06
6266.68,3.27318441414e-06
6266.69,3.84093507006e-06
6266.7,4.54881296145e-06
6266.71,5.37086706576e-06
6266.72,6.1025840171e-06
6266.73,6.48732446998e-06
6266.74,6.40775084324e-06
6266.75,5.85501100239e-06
6266.76,4.9724641541e-06
6266.77,4.06690219015e-06
6266.78,3.37920623366e-06
6266.79,2.96557019553e-06
6266.8,2.75176745269e-06
6266.81,2.60004630981e-06
6266.82,2.40691608114e-06
6266.83,2.18805244458e-06
6266.84,2.01768338842e-06
6266.85,1.93350415052e-06
6266.86,1.93834119998e-06
6266.87,2.04030405812e-06
6266.88,2.26236620763e-06
6266.89,2.62379373624e-06
6266.9,3.11856533339e-06
6266.91,3.69707130006e-06
6266.92,4.23110326162e-06
6266.93,4.48581839957e-06
6266.94,4.27154216184e-06
6266.95,3.67982459908e-06
6266.96,2.98708586393e-06
6266.97,2.39285983081e-06
6266.98,1.95642024433e-06
6266.99,1.66132132016e-06
6267.0,1.47211864049e-06
6267.01,1.35813869749e-06
6267.02,1.29731957416e-06
6267.03,1.27406888854e-06
6267.04,1.2802119188e-06
6267.05,1.31664152057e-06
6267.06,1.38500033417e-06
6267.07,1.47379895523e-06
6267.08,1.56105944606e-06
6267.09,1.6386499506e-06
6267.1,1.72717664509e-06
6267.11,1.86242600985e-06
6267.12,2.07298762125e-06
6267.13,2.3763603443e-06
6267.14,2.79581169781e-06
6267.15,3.37566117939e-06
6267.16,4.17042684939e-06
6267.17,5.21235277356e-06
6267.18,6.4950300053e-06
6267.19,7.92579809454e-06
6267.2,9.16480642013e-06
6267.21,9.68226964525e-06
6267.22,9.33608363448e-06
6267.23,8.66007991672e-06
6267.24,8.28776379616e-06
