nu,CH4/x=5e-5/T=270K/P=.35atm/L=10000000cm
5952.38095,0.0
5952.39095,0.0293228947083
5952.40095,0.0304280397119
5952.41095,0.0342476570872
5952.42095,0.0421686795119
5952.43095,0.0556362582745
5952.44095,0.07467236156399999
5952.45095,0.100781996046
5952.46095,0.13203655100199999
5952.47095,0.146818120019
5952.48095,0.134389760559
5952.49095,0.120584660242
5952.50095,0.12057617577
5952.51095,0.11940424914799999
5952.52095,0.101967619998
5952.53095,0.076447666716
5952.54095,0.0563274743401
5952.55095,0.0448101062681
5952.56095,0.0403974637817
5952.57095,0.0424663359884
5952.58095,0.051724998279800004
5952.59095,0.0650998239337
5952.60095,0.0696003358733
5952.61095,0.0578904911192
5952.62095,0.041526040829500004
5952.63095,0.030221048391900002
5952.64095,0.024077892258900002
5952.65095,0.0210602601551
5952.66095,0.0200185481173
5952.67095,0.0206905174352
5952.68095,0.023488987049599997
5952.69095,0.0288708706029
5952.70095,0.0347976409663
5952.71095,0.036212381414300006
5952.72095,0.0331434451145
5952.73095,0.0315159898495
5952.74095,0.03504714540040001
5952.75095,0.0443617057575
5952.76095,0.05577671587230001
5952.77095,0.0591359459769
5952.78095,0.050488451044300005
5952.79095,0.039588908183199996
5952.80095,0.033614117905999996
5952.81095,0.032793217714999996
5952.82095,0.0364240594154
5952.83095,0.045152328512500006
5952.84095,0.0602532859523
5952.85095,0.0794932814729
5952.86095,0.09296558994160001
5952.87095,0.0943186972027
5952.88095,0.0921818282051
5952.89095,0.0946200980611
5952.90095,0.0991491550936
5952.91095,0.09818883336100001
5952.92095,0.08843954132000001
5952.93095,0.0775295011559
5952.94095,0.07215441388739999
5952.95095,0.07044013819310001
5952.96095,0.0685126534435
5952.97095,0.0647523880119
5952.98095,0.0599676597212
5952.99095,0.0578754791193
5953.00095,0.061489312078
5953.01095,0.0700816120885
5953.02095,0.0764809653668
5953.03095,0.0741920446425
5953.04095,0.0686369287796
5953.05095,0.0681379685108
5953.06095,0.0765303280227
5953.07095,0.0938847678221
5953.08095,0.110897549364
5953.09095,0.111977534897
5953.10095,0.097767622071
5953.11095,0.0830391000286
5953.12095,0.0732565829435
5953.13095,0.0658430705544
5953.14095,0.060021212410900006
5953.15095,0.055897132326800006
5953.16095,0.0534125780963
5953.17095,0.05344868673000001
5953.18095,0.0582699675158
5953.19095,0.0692008537695
5953.20095,0.08469128489060002
5953.21095,0.105274991281
5953.22095,0.140918660206
5953.23095,0.20244204012000003
5953.24095,0.271506837793
5953.25095,0.29021299149
5953.26095,0.240527900429
5953.27095,0.173696048269
5953.28095,0.128164876693
5953.29095,0.107860307677
5953.30095,0.103863354414
5953.31095,0.100702940701
5953.32095,0.08758282088710001
5953.33095,0.070728411741
5953.34095,0.0568271348827
5953.35095,0.045366924057200005
5953.36095,0.0368152202734
